time_stamp,tweet_text,url
2019-09-12 23:59:29,RT @JulianCastro: Bringing my understudy to the #DemocraticDebate https://t.co/xrujBWstsp,[]
2019-09-12 23:59:29,"RT @TrumpStudents: Who’s ready for tonight’s Democratic Clown Show Debate?

You’re guaranteed to hear about:

- Socialism,

- Open Borders,…",[]
2019-09-12 23:59:29,"'Hell No,' Say Progressives, After GOP Sen. Joni Ernst Suggests Cutting Social Security 'Behind Closed Doors' 
#Iowans Follow/Donate/Vote ⁦@GreenfieldIowa⁩ US Senate #Iowa !! 
#DemocraticDebate ⁦@iowademocrats⁩ ⁦@TheDemocrats⁩  https://t.co/lN93WGDtJ4","[{'url': 'https://t.co/lN93WGDtJ4', 'expanded_url': 'https://www.commondreams.org/news/2019/09/06/hell-no-say-progressives-after-gop-sen-joni-ernst-suggests-cutting-social-security', 'display_url': 'commondreams.org/news/2019/09/0…', 'indices': [228, 251]}]"
2019-09-12 23:59:29,Hahahaha! The candidates had to be warned to watch their mouths! #DemocraticDebate,[]
2019-09-12 23:59:29,"RT @w_terrence: At the #DemocraticDebate they will be talking about banning Double Cheese Burgers &amp; Fries!

I NEED EVERY AMERICAN TO HELP M…",[]
2019-09-12 23:59:29,RT @joelpollak: Trump campaign banner flies over #DemocraticDebate at ⁦@TexasSouthern⁩: “Socialism will kill Houston’s economy! Vote Trump…,[]
2019-09-12 23:59:28,"RT @KyleKulinski: Turned on ABC News and the first thing I hear is ""this debate is not about policy specifics, it's about energy"". These id…",[]
2019-09-12 23:59:27,"@MarkAShoffner @Braves game, #TNF or #DemocraticDebate?",[]
2019-09-12 23:59:27,"RT @w_terrence: At the #DemocraticDebate they will be talking about banning Double Cheese Burgers &amp; Fries!

I NEED EVERY AMERICAN TO HELP M…",[]
2019-09-12 23:59:26,"RT @ChrisJZullo: Comparing jobs and budget deficit

Reagan: 15M jobs
$79B to $159B

Bush: 2M jobs
$153B to $255B

Clinton: 23M jobs
$255B t…",[]
2019-09-12 23:59:26,"RT @KyleKulinski: Turned on ABC News and the first thing I hear is ""this debate is not about policy specifics, it's about energy"". These id…",[]
2019-09-12 23:59:26,"Try
H
Y
P
O
C
R
I
T
E

#DemocraticDebate https://t.co/lONHNXoyDE","[{'url': 'https://t.co/lONHNXoyDE', 'expanded_url': 'https://twitter.com/The_PoliticalTP/status/1172298170111528965', 'display_url': 'twitter.com/The_PoliticalT…', 'indices': [41, 64]}]"
2019-09-12 23:59:25,"RT @joelpollak: Hmm... no trash cans or recycling bins, perhaps for safety reasons, so security at ⁦@TexasSouthern⁩ are just tossing plasti…",[]
2019-09-12 23:59:24,"RT @flippable_org: As presidential hopefuls convene in Texas—the poster child of voter suppression—for tonight's #DemocraticDebate, we agre…",[]
2019-09-12 23:59:24,"RT @ChrisJZullo: Let’s make this clear. I don’t care who your preferred Democratic candidate is; Joe Biden, Elizabeth Warren, Bernie Sander…",[]
2019-09-12 23:59:23,"“They don’t like the infighting between the Democratic candidates...”

Literally what do these people think the point of a fucking debate is?  #DemocraticDebate",[]
2019-09-12 23:59:23,"RT @juli_adhikari: @christygoldfuss @amprog @ewarren @ABC More than 100 million workers don’t have access to paid leave, our repro rights a…",[]
2019-09-12 23:59:23,"RT @TrumpStudents: Who’s ready for tonight’s Democratic Clown Show Debate?

You’re guaranteed to hear about:

- Socialism,

- Open Borders,…",[]
2019-09-12 23:59:23,"Elizabeth Warren pretended to be an American Indian for personal and professional gain. 

Game. Over. 

Get back to being the flunkie of the 2013 freshman Senate class. Buh bye.

#DemocraticDebate",[]
2019-09-12 23:59:23,RT @LifeNewsHQ: EVERY Democrat running for president has voted for abortion up to birth and infanticide or supports it: #DemocraticDebate…,[]
2019-09-12 23:59:23,"RT @RiotwomennnTemp: Tulsi Gabbard, Marianne Williamson &amp; Andrew Yang  - keep watching

All are Bernie Sanders' supporters.

Each is workin…",[]
2019-09-12 23:59:22,RT @SeanRanney: #MyYangStory couldn’t be more proud to support a political candidate than I am for @AndrewYang #ISupportYang #YangGang #Yan…,[]
2019-09-12 23:59:22,"RT @diszident2: With corrupt corporate commentators like @RahmEmanuel and @HeidiHeitkamp, we all know tonight's viewers of #DemocraticDebat…",[]
2019-09-12 23:59:22,"RT @ChrisJZullo: Let’s make this clear. I don’t care who your preferred Democratic candidate is; Joe Biden, Elizabeth Warren, Bernie Sander…",[]
2019-09-12 23:59:22,Just got home from work. Streaming  the #DemocraticDebate. Lets go #YangGang #ISupportYang #TrumpFearsYang #YangsDebateSurprise #YangBeatsTrump #Yang2020,[]
2019-09-12 23:59:22,"RT @KyleKulinski: Turned on ABC News and the first thing I hear is ""this debate is not about policy specifics, it's about energy"". These id…",[]
2019-09-12 23:59:21,"Looking forward to seeing @DavidMuir as a moderator for tonight’s #DemDebate ! 💙

#DemocraticDebate #DemDebate3",[]
2019-09-12 23:59:21,RT @joelpollak: Trump campaign banner flies over #DemocraticDebate at ⁦@TexasSouthern⁩: “Socialism will kill Houston’s economy! Vote Trump…,[]
2019-09-12 23:59:21,"RT @YeBernice: Never thought i would do this but i also never thought i would be so engaged with politics, because i see hope and i see whe…",[]
2019-09-12 23:59:21,I’m making a lot of pre  #DemocraticDebate decisions.    Who to block ....who to mute!  Trolls are out for sure,[]
2019-09-12 23:59:21,"Ahead of tonight's #DemocraticDebate, a coalition of major netroots groups is calling on all 2020 presidential candidates to pledge to restore #NetNeutrality and reject contributions from Big Cable. Join us: https://t.co/rYp3C3CGLC https://t.co/fn2Wmf9V7S","[{'url': 'https://t.co/rYp3C3CGLC', 'expanded_url': 'https://actionnetwork.org/petitions/2020-net-neutrality/', 'display_url': 'actionnetwork.org/petitions/2020…', 'indices': [208, 231]}]"
2019-09-12 23:59:21,"Almost showtime at the #DemocraticDebate in Houston. Here’s the view from the media filing center. Actually it’s half the view. There’s a whole other section, https://t.co/hUDQOvdE5Z",[]
2019-09-12 23:59:21,You know it’s about to be #DemocraticDebate time when every candidate in existence is emailing you for money,[]
2019-09-12 23:59:20,Getting to watch the #DemocraticDebate then see @marwilliamson give her thoughts. Curious to see how this goes.,[]
2019-09-12 23:59:20,"NOTE : Yes, we all want Biden gone. BUT how about NOT spending the debate BASHING OBAMA this time, okay? #DemocraticDebate #DemDebate #DemDebate3 #DemDebateTSU #DemDebates",[]
2019-09-12 23:59:20,"RT @KyleKulinski: Turned on ABC News and the first thing I hear is ""this debate is not about policy specifics, it's about energy"". These id…",[]
2019-09-12 23:59:20,"It's going to be between 2.5 and 3 hours ☠️

#DemocraticDebate https://t.co/8vQTdB3Jsq","[{'url': 'https://t.co/8vQTdB3Jsq', 'expanded_url': 'https://twitter.com/JimmyJohnson911/status/1172298298104745984', 'display_url': 'twitter.com/JimmyJohnson91…', 'indices': [63, 86]}]"
2019-09-12 23:59:20,RT @funder: I will be 110% fully supporting the nominee for president. Retweet if you will too. Then buy our book series on the different c…,[]
2019-09-12 23:59:20,"RT @dianelyssa: here we go, i guess. #democraticdebate https://t.co/ZjsYjFQCX6",[]
2019-09-12 23:59:19,"“She loved herself, and some of her staff had a God view of her, and that’s not aligned with government and bureaucrats, which require teamwork.” ~Obama ppl on Warren

#DemocraticDebate https://t.co/H7t6o0gU3J","[{'url': 'https://t.co/H7t6o0gU3J', 'expanded_url': 'https://twitter.com/HotlineJosh/status/1172216174379241472', 'display_url': 'twitter.com/HotlineJosh/st…', 'indices': [186, 209]}]"
2019-09-12 23:59:18,"The third #DemocraticDebate is about to get underway.
Watch live https://t.co/BlGkozmALm","[{'url': 'https://t.co/BlGkozmALm', 'expanded_url': 'https://abcnews.go.com/', 'display_url': 'abcnews.go.com', 'indices': [65, 88]}]"
2019-09-12 23:59:18,"RT @AmyKremer: God I’m going to miss her tonight! #DemocraticDebate
 https://t.co/3bjN8IQCYk",[]
